,,,,,,,,
American Food,,State,Fat,Carbohydrates,Added Sugar,Added Sugar(g/per 100g),Protein,Cholesterol 
Chicago-style deep-dish pizza,,Illinois,42%,38%,0%,3,20%,0%
Crab cake,,Maryland,15%,1%,0%,,25%,27%
Peach pie/cobbler,,Georgia,54%,68%,25%,15,35%,0%
Gumbo,,Louisiana,,,,,,
Key lime pie,,Florida,,,,,,
Cowboy cookies,,Colorado,,,,,,
Stacked enchilada with green chile,,New Mexico,,,,,,
Marionberry pie,,Oregon,,,,,,
Hot wieners,,Rhode Island,,,,,,
Burgoo,,Kentucky,,,,,,
Pulled pork barbecue,,North Carolina,,,,,,
New England clam chowder,,Massachusetts,,,,,,
A fucking steamed fucking cheeseburger,,Connecticut,,,,,,
Cincinnati chili,,Ohio,,,,,,
Half-smoke,,District of Columbia,,,,,,
Fried pork tenderloin sandwich,,Indiana,,,,,,
,,,,,,,,
Cookie Type,Country Origin,Sugar Per Cookie (g),Fat Per Cookie (g),"idea: the more sugar, the more moist; the less the drier",,,,
Cowboy Cookie,:us: America,24,20,,,,,
Great American Cookies,:us: America,13,8,,,,,
Chocolate Chip Cookies,:us: America,11,8,,,,,
Alfajores,:ar: Argentina,7.6,2.6,,,,,
Maple Cream Cookies,:ca: Canada,7,4.5,,,,,
English Tea Sandwich Cookies,:gb: United Kingdom,6.1,3.7,,,,,
Chinese Almond Cookies ,:cn: China,5,5.4,,,,,
Japanese Cookies,:jp: Japan,3,1.3,,,,,
French Biscuits,:fr: France,1.5,1.4,,,,,
