,,,,,,,,,,,,,,,,,,
Sugar consumption,,,,,Sugar consumption,,,,,,,,,,,,,
,Calories,Calories,Calories,,,Servings ,Servings,Servings,,Cleaned,,,,,,,,
,consumed,consumed,consumed,,,(teaspoons),(teaspoons),(teaspoons),,,,,,,,,,
,daily 3/,daily 3/,daily 3/,,,consumed,consumed,consumed,,Daily Refined Sugar Consumption,calories,,Obesity,Severe obesity,,,Obesity,Severe obesity
,,,,,,daily 4/,daily 4/,daily 4/,,1999,439,,30.9,5,,1999-2000,30.9,5
Daily Sugar Consumption,Refined Sugar,Syrup,Others,,Daily Sugar Consumption,Refined Sugar,Syrup,Others,,2000,421,,,,,2001-2002,31.2,5.4
,calories,calories,calories,,,teaspoons,teaspoons,teaspoons,,2001,416,,31.2,5.4,,2003-2004,32.9,5.1
1970,284,2,48,334,,17.8,0.1,3.0,,2002,414,,,,,2005-2006,35.1,6.2
1971,285,2,49,337,,17.8,0.1,3.1,,2003,401,,,,,2007-2008,34.3,6
1972,285,3,52,340,,17.8,0.2,3.2,,2004,401,,32.9,5.1,,2009-2010,36.1,6.6
1973,281,6,54,341,,17.6,0.4,3.4,,2005,403,,,,,2011-2012,35.3,6.6
1974,267,8,55,330,,16.7,0.5,3.5,,2006,395,,35.1,6.2,,2013-2014,38.2,8.1
1975,249,14,56,318,,15.5,0.9,3.5,,2007,384,,,,,2015-2016,40,8
1976,260,20,55,335,,16.3,1.2,3.4,,2008,385,,34.3,6,,2017-2018,42.8,9.6
1977,263,27,54,343,,16.4,1.7,3.4,,2009,370,,,,,2019-2020,41.9,9.2
1978,255,30,54,339,,15.9,1.9,3.4,,2010,374,,36.1,6.6,,2021-2022,42.4,9.2
1979,249,41,53,343,,15.6,2.6,3.3,,2011,368,,,,,Increase,11.5,4.2
1980,233,53,50,336,,14.6,3.3,3.1,,2012,366,,35.3,6.6,,,,
1981,221,64,50,335,,13.8,4.0,3.1,,2013,363,,,,,sugar to gram convesion,,
1982,205,74,50,329,,12.8,4.6,3.1,,2014,367,,38.2,8.1,,,,
1983,196,87,51,334,,12.2,5.4,3.2,,2015,366,,,,,,,
1984,186,104,51,340,,11.6,6.5,3.2,,2016,363,,40,8,,,,
1985,175,126,52,353,,10.9,7.9,3.2,,2017,361,,,,,,,
1986,167,127,53,348,,10.5,8.0,3.3,,2018,356,,42.8,9.6,,,,
1987,174,133,53,360,,10.9,8.3,3.3,,2019,352,,,,,,,
1988,173,136,55,364,,10.8,8.5,3.4,,2020,351,,41.9,9.2,,,,
1989,175,134,50,359,,10.9,8.4,3.1,,2021,354,,,,,,,
1990,180,138,53,370,,11.2,8.6,3.3,,2022,352,,42.4,9.2,,,,
1991,178,141,54,373,,11.1,8.8,3.4,,,,,,,,,,
1992,178,145,56,380,,11.1,9.1,3.5,,,,,,,,,,
1993,178,152,59,389,,11.1,9.5,3.7,,,,,,,,,,
1994,181,158,59,399,,11.3,9.9,3.7,,,,,,,,,,
1995,183,165,61,409,,11.4,10.3,3.8,,,,,,,,,,
1996,184,169,64,417,,11.5,10.6,4.0,,,,,,,,,,
1997,184,178,65,427,,11.5,11.1,4.1,,,,,,,,,,
1998,185,183,64,432,,11.5,11.4,4.0,,,,,,,,,,
1999,189,188,62,439,1999,11.8,11.7,3.9,,,,,,,,,,
2000,182,179,59,421,2000,11.4,11.2,3.7,,,,,,,,,,
2001,179,178,59,416,2001,11.2,11.1,3.7,,,,,,,,,,
2002,176,179,59,414,2002,11.0,11.2,3.7,,,,,,,,,,
2003,170,174,57,401,2003,10.6,10.9,3.6,,,,,,,,,,
2004,172,171,58,401,2004,10.7,10.7,3.6,,,,,,,,,,
2005,176,170,58,403,2005,11.0,10.6,3.6,,,,,,,,,,
2006,174,167,53,395,2006,10.9,10.5,3.3,,,,,,,,,,
2007,171,161,52,384,2007,10.7,10.1,3.3,,,,,,,,,,
2008,183,152,51,385,2008,11.4,9.5,3.2,,,,,,,,,,
2009,177,144,49,370,2009,11.1,9.0,3.1,,,,,,,,,,
2010,184,141,49,374,2010,11.5,8.8,3.1,,,,,,,,,,
2011,185,135,48,368,2011,11.6,8.5,3.0,,,,,,,,,,
2012,186,133,47,366,2012,11.6,8.3,3.0,,,,,,,,,,
2013,190,127,46,363,2013,11.9,8.0,2.9,,,,,,,,,,
2014,191,128,48,367,2014,11.9,8.0,3.0,,,,,,,,,,
2015,193,125,48,366,2015,12.0,7.8,3.0,,,,,,,,,,
2016,194,121,47,363,2016,12.2,7.6,3.0,,,,,,,,,,
2017,193,118,51,361,2017,12.0,7.4,3.2,,,,,,,,,,
2018,191,114,50,356,2018,11.9,7.1,3.2,,,,,,,,,,
2019,190,111,50,352,2019,11.9,7.0,3.1,,,,,,,,,,
2020,190,111,49,351,2020,11.9,7.0,3.1,,,,,,,,,,
2021,194,110,50,354,2021,12.1,6.9,3.1,,,,,,,,,,
2022,193,110,50,352,2022,12.1,6.9,3.1,,,,,,,,,,
