Entity Information,Initial Filing Date,Status,Entity Type,Formed In,Agent
"SOCAL SURROGACY, INC. (3943500)",09/07/2016,Active,Stock Corporation - CA - General,CALIFORNIA,ANDREW R. GALE
"SOCAL SURROGACY, LLC (201812810238)",04/26/2018,Active,Limited Liability Company - CA,CALIFORNIA,ANDREW R. GALE
NAPPY ENDINGS SURROGACY AGENCY LLC (202035410071),12/16/2020,Active,Limited Liability Company - CA,CALIFORNIA,ANDREW VORZIMER
VORZIMER/MASSERMAN - FERTILITY AND FAMILY LAW CENTER (1744022),05/11/1994,Active,Stock Corporation - CA - General,CALIFORNIA,ANDREW VORZIMER
THE FERTILITY AND REPRODUCTIVE RIGHTS LEAGUE (2668588),07/07/2004,Suspended - FTB,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,ANGELA POOL HEGAMIN
THE FERTILITY EDUCATION AND RESEARCH COUNCIL (2668587),07/07/2004,Suspended - FTB,Nonprofit Corporation - CA - Public Benefit,CALIFORNIA,ANGELA POOL HEGAMIN
"ASIAWEST EGG DONORS, LLC (201716110144)",06/02/2017,Suspended - SOS,Limited Liability Company - CA,CALIFORNIA,ANNA MARIAH SWAN
"NORTHWEST EGG DONORS, LLC (201716110096)",06/02/2017,Terminated,Limited Liability Company - CA,CALIFORNIA,ANNA MARIAH SWAN
"FERTILITY SPECIALISTS MEDICAL GROUP, INC. (2226672)",03/28/2000,Active,Stock Corporation - CA - General,CALIFORNIA,ARLENE MORALES
"MIDWEST EGG DONOR AGENCY, LLC (201921910123)",08/01/2019,Active,Limited Liability Company - CA,CALIFORNIA,ARLENE MORALES
WESTERN FERTILITY INSTITUTE OF ARCADIA LLC (202003810225),01/24/2020,Active,Limited Liability Company - CA,CALIFORNIA,ASHIM KUMAR
WESTERN FERTILITY INSTITUTE LLC (201426210096),09/18/2014,Active,Limited Liability Company - CA,CALIFORNIA,ASHIM KUMAR
"FERTILITY LAB SCIENCES OF ORANGE COUNTY, LLC (201521910296)",08/06/2015,Active,Limited Liability Company - Out of State,DELAWARE,C T CORPORATION SYSTEM
"FERTILITY LAB SCIENCES, LLC (201504010069)",02/05/2015,Terminated,Limited Liability Company - Out of State,DELAWARE,C T CORPORATION SYSTEM
"FERTILITY CENTERS OF ORANGE COUNTY, A MEDICAL GROUP, INC. (3859622)",01/08/2016,Active,Stock Corporation - CA - General,CALIFORNIA,C T CORPORATION SYSTEM
"CALIFORNIA DONOR EGG CRYOBANK, LLC (201124110185)",08/16/2011,Active,Limited Liability Company - CA,CALIFORNIA,C T CORPORATION SYSTEM
"CALIFORNIA FERTILITY PARTNERS, A MEDICAL GROUP, P.C. (5045312)",04/12/2022,Active,Stock Corporation - CA - Professional,,C T CORPORATION SYSTEM
"CALIFORNIA FERTILITY CENTERS, A MEDICAL CORPORATION (3498122)",09/28/2012,Active,Stock Corporation - CA - General,CALIFORNIA,C T CORPORATION SYSTEM
"NORTHWEST SURROGACY CENTER, L.L.C. (201408510438)",03/21/2014,Active,Limited Liability Company - Out of State,OREGON,C T CORPORATION SYSTEM
"GLOBAL PREMIER FERTILITY - INLAND EMPIRE, PC (4794950)",09/28/2021,Terminated,Stock Corporation - CA - Professional,CALIFORNIA,C T CORPORATION SYSTEM
GLOBAL PREMIER FERTILITY - INLAND EMPIRE LLC (202126510289),09/20/2021,Terminated,Limited Liability Company - CA,CALIFORNIA,C T CORPORATION SYSTEM
"PINNACLE FERTILITY MIDCO, INC. (4624551)",07/29/2020,Active,Stock Corporation - Out of State - Stock,DELAWARE,C T CORPORATION SYSTEM
"PINNACLE FERTILITY PARENT, INC. (4624559)",07/29/2020,Active,Stock Corporation - Out of State - Stock,DELAWARE,C T CORPORATION SYSTEM
"PINNACLE FERTILITY, INC. (4624555)",07/29/2020,Active,Stock Corporation - Out of State - Stock,DELAWARE,C T CORPORATION SYSTEM
"SAN DIEGO FERTILITY CENTER IVF & ANDROLOGY LAB, LLC (202103910263)",11/19/1999,Converted Out,Limited Liability Company - CA,CALIFORNIA,C T CORPORATION SYSTEM
"Global Premier Fertility, LLC (202250910902)",05/24/2022,Active,Limited Liability Company - Out of State,DELAWARE,C T CORPORATION SYSTEM
Global Premier Fertility RHW Lab LLC (202250518796),05/04/2022,Active,Limited Liability Company - CA,CALIFORNIA,C T CORPORATION SYSTEM
Global Premier Fertility RHW Clinic LLC (202250518810),05/04/2022,Active,Limited Liability Company - CA,CALIFORNIA,C T CORPORATION SYSTEM
"NORTH STAR FERTILITY PARTNERS, LLC (202113810102)",05/11/2021,Active,Limited Liability Company - Out of State,DELAWARE,C T CORPORATION SYSTEM
"SAN FRANCISCO FERTILITY CENTERS, A MEDICAL CORPORATION (1518072)",04/01/1991,Active,Stock Corporation - CA - General,CALIFORNIA,C T CORPORATION SYSTEM
"SAN DIEGO FERTILITY CENTER MEDICAL GROUP, INC. (1905348)",12/23/1996,Active,Stock Corporation - CA - General,CALIFORNIA,C T CORPORATION SYSTEM
